decision,net_return
2011-08-26,-0.00701444054750989
2011-09-02,0.0005094378320264117
2011-09-09,0.0064759603114707565
2011-09-16,0.0011994077605666496
2011-09-23,-0.011705040630186646
2011-09-30,0.010815294005897834
2011-10-07,0.00888564168924228
2011-10-14,-0.0017907778338131482
2011-10-21,-0.006659635051173737
2011-10-28,0.005259296860834651
2011-11-04,0.00022430695112562278
2011-11-11,0.001937689649511621
2011-11-18,-0.00032301984849071217
2011-11-25,0.0026215280365893727
2011-12-02,-0.003286801272299452
2011-12-09,-0.0020723433871167075
2011-12-16,-0.0001800483625747629
2011-12-23,0.00021379873325949367
2011-12-30,0.002806669727220628
2012-01-06,-0.0013762343754345097
2012-01-13,-0.003196127280294794
2012-01-20,-0.005273327963954888
2012-01-27,-7.189990723913532e-05
2012-02-03,-0.0010669171702929747
2012-02-10,-0.003264081616388501
2012-02-17,-0.0001638083160686833
2012-02-24,-0.0012720592483664844
2012-03-02,-0.001263843301180709
2012-03-09,0.002649885922402476
2012-03-16,-0.0011923751917317362
2012-03-23,-0.0014553486230060926
2012-03-30,-0.002924950370652655
2012-04-05,-0.0018289773692085412
2012-04-13,0.0018951254819284244
2012-04-20,0.0002925734714783885
2012-04-27,-0.0033769648748996108
2012-05-04,-0.002413392433097146
2012-05-11,-0.006785733151206764
2012-05-18,0.0005435762579588728
2012-05-25,-0.006705199277783397
2012-06-01,-0.0019835637893405498
2012-06-08,-0.0039765852946464925
2012-06-15,-0.0016155674029975965
2012-06-22,-0.0035822753863512338
2012-06-29,0.0028957304449233573
2012-07-06,0.0055133903707423595
2012-07-13,-0.0010640969487023793
2012-07-20,-0.0027623690154101477
2012-07-27,-0.0003003154952341344
2012-08-03,-0.004209719116792404
2012-08-10,-1.116921786023788e-05
2012-08-17,0.0009600851134947559
2012-08-24,-0.001225808229365601
2012-08-31,0.0017582825822085092
2012-09-07,0.0016851621520456266
2012-09-14,-0.004497926514725487
2012-09-21,-0.002892381949506121
2012-09-28,-0.0016926107910449715
2012-10-05,0.0005604954535090727
2012-10-12,-0.0020790768629853247
2012-10-19,0.002010376399783281
2012-10-26,0.003543593031848046
2012-11-02,0.0012028759479439156
2012-11-09,0.002618973910230551
2012-11-16,-0.0008846300089591583
2012-11-23,-0.009788220721772052
2012-11-30,-0.002280729005265613
2012-12-07,0.0006896702232601583
2012-12-14,-0.0027929911547774798
2012-12-21,8.35808324462663e-05
2012-12-28,0.0005892616910635004
2013-01-04,-0.0015643033785445568
2013-01-11,-0.0003575380623436188
2013-01-18,0.0025885616588339102
2013-01-25,0.002883142889489586
2013-02-01,-0.002705749548398708
2013-02-08,-0.007699837524485914
2013-02-15,0.0010087821067027059
2013-02-22,-0.002650127245064469
2013-03-01,-0.004891892018909717
2013-03-08,-0.0015890018492730278
2013-03-15,-0.0028107784293276727
2013-03-22,0.0011476985233457738
2013-03-28,6.697726086164269e-05
