,SPY,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,UUP,FXE,FXY,VNQ
2004-02-02,113.97,115.9,137.9999,167.9397,86.5,85.22,111.45,,,,,,,,,
2004-02-03,113.78,115.25,138.2499,166.9998,86.94,85.55,111.68,,,,,,,,,
2004-02-04,112.85,112.4,136.7499,165.4998,86.77,85.41,111.59,,,,,,,,,
2004-02-05,113.18,113.45,137.3199,165.4497,86.43,85.09,111.4,,,,,,,,,
2004-02-06,114.45,116.32,139.9099,169.2195,87.38,85.61,111.73,,,,,,,,,
2004-02-09,114.48,116.55,140.7899,171.6597,87.64,85.81,112.2,,,,,,,,,
2004-02-10,114.85,117.95,141.3999,171.5097,87.15,85.57,111.87,,,,,,,,,
2004-02-11,116.07,118.67,142.9999,174.1695,87.8,86.02,112.55,,,,,,,,,
2004-02-12,115.65,117.86,141.7499,174.0795,87.43,85.97,112.35,,,,,,,,,
2004-02-13,115.13,116.65,141.5699,174.1995,87.8,86.19,112.99,,,,,,,,,
2004-02-17,116.17,118.7,144.2998,177.6996,87.74,86.19,112.66,,,,,,,,,
2004-02-18,115.66,117.83,142.2999,175.2795,87.86,86.17,112.4,,,,,,,,,
2004-02-19,115.23,115.75,143.2499,173.7495,87.95,86.23,112.8,,,,,,,,,
2004-02-20,114.88,115.55,141.4999,171.7995,87.34,85.94,112.25,,,,,,,,,
2004-02-23,114.59,113.81,141.8999,170.2995,87.88,86.22,112.56,,,,,,,,,
2004-02-24,114.39,113.8,141.3499,169.3995,88.04,86.37,112.67,,,,,,,,,
2004-02-25,114.87,115.4,140.2999,171.2496,88.18,86.47,112.75,,,,,,,,,
2004-02-26,114.94,116.1,140.3499,172.0995,87.9,86.34,112.83,,,,,,,,,
2004-02-27,115.02,116.7,141.4999,174.5397,88.66,86.68,113.16,,,,,,,,,
2004-03-01,116.16,118.55,143.3999,178.5195,88.27,86.52,112.69,,,,,,,,,
2004-03-02,115.48,117.61,141.0999,177.0996,87.71,86.02,112.47,,,,,,,,,
2004-03-03,115.69,117.73,140.7999,175.9995,87.55,85.94,112.42,,,,,,,,,
